index,full_count_name,full_count,full_count_pos_name,full_count_pos,full_count_neg_name,full_count_neg,florida_count_name,florida_count,florida_count_pos_name,florida_count_pos,florida_count_neg_name,florida_count_neg,japan_count_name,japan_count,japan_count_pos_name,japan_count_pos,japan_count_neg_name,japan_count_neg,singapore_count_name,singapore_count,singapore_count_pos_name,singapore_count_pos,singapore_count_neg_name,singapore_count_neg
79,woody woodpecker's nuthouse coaster,56,enchanted airways,43.0,freeze ray sliders,11.0,,,,,,,,,,,,,,,,,,
80,backdraft,55,waturi beach,43.0,woody woodpecker's nuthouse coaster,10.0,,,,,,,,,,,,,,,,,,
81,freeze ray sliders,51,cookie monster slide,42.0,universal spectacle night parade: the best of  hollywood,9.0,,,,,,,,,,,,,,,,,,
82,jaws,50,backdraft,42.0,hello kitty's ribbon collection,9.0,,,,,,,,,,,,,,,,,,
83,cookie monster slide,48,jaws,41.0,jaws,9.0,,,,,,,,,,,,,,,,,,
84,enchanted airways,47,freeze ray sliders,40.0,elmo's tv time,9.0,,,,,,,,,,,,,,,,,,
85,jurassic park - the ride,42,jurassic park - the ride,38.0,kang & kodos' twirl 'n' hurl,8.0,,,,,,,,,,,,,,,,,,
86,ernie's rubber ducker race,39,accelerator,28.0,dudley do-right's ripsaw falls,8.0,,,,,,,,,,,,,,,,,,
87,elmo's tv time,36,dudley do-right's ripsaw falls,27.0,frog choir,7.0,,,,,,,,,,,,,,,,,,
88,dudley do-right's ripsaw falls,35,elmo's tv time,27.0,cookie monster slide,6.0,,,,,,,,,,,,,,,,,,
89,accelerator,31,frog choir,24.0,elmo's little drive,5.0,,,,,,,,,,,,,,,,,,
90,frog choir,31,ernie's rubber ducker race,20.0,krakatu aqua coaster,5.0,,,,,,,,,,,,,,,,,,
91,grover's construction company,30,grover's construction company,18.0,sesame's big drive,5.0,,,,,,,,,,,,,,,,,,
92,doctor doom's fearfall,30,kang & kodos' twirl 'n' hurl,17.0,popeye & bluto's bilge-rat barges,4.0,,,,,,,,,,,,,,,,,,
93,kang & kodos' twirl 'n' hurl,25,sesame's big drive,16.0,enchanted airways,4.0,,,,,,,,,,,,,,,,,,
94,sesame's big drive,21,elmo's little drive,16.0,jurassic park - the ride,4.0,,,,,,,,,,,,,,,,,,
95,elmo's little drive,21,doctor doom's fearfall,15.0,ika moana of the honu ika moana,4.0,,,,,,,,,,,,,,,,,,
96,krakatu aqua coaster,18,mario kart: koopa's challenge,15.0,lights! camera! action! hosted by steven spielberg,4.0,,,,,,,,,,,,,,,,,,
97,mario kart: koopa's challenge,18,krakatu aqua coaster,13.0,hollywood china arcade,3.0,,,,,,,,,,,,,,,,,,
98,popeye & bluto's bilge-rat barges,16,popeye & bluto's bilge-rat barges,12.0,accelerator,3.0,,,,,,,,,,,,,,,,,,
99,banana cabana,13,banana cabana,11.0,mario kart: koopa's challenge,3.0,,,,,,,,,,,,,,,,,,
100,playing with curious george,12,playing with curious george,10.0,honu of the honu ika moana,2.0,,,,,,,,,,,,,,,,,,
101,elmo's bubble bubble,12,elmo's bubble bubble,10.0,the amazing adventures of spider-man,2.0,,,,,,,,,,,,,,,,,,
102,ika moana of the honu ika moana,11,the amazing adventures of spider-man,8.0,pteranodon flyers,2.0,,,,,,,,,,,,,,,,,,
103,the amazing adventures of spider-man,10,ika moana of the honu ika moana,7.0,banana cabana,2.0,,,,,,,,,,,,,,,,,,
104,honu of the honu ika moana,7,festival in the park,6.0,elmo's bubble bubble,2.0,,,,,,,,,,,,,,,,,,
105,festival in the park,6,honu of the honu ika moana,5.0,playing with curious george,2.0,,,,,,,,,,,,,,,,,,
106,water garden,5,amity boardwalk games,4.0,runamukka reef,1.0,,,,,,,,,,,,,,,,,,
107,42nd street studio: greeting gallery,4,water garden,4.0,the reef,1.0,,,,,,,,,,,,,,,,,,
108,amity boardwalk games,4,42nd street studio: greeting gallery,4.0,big bird's big top circus,1.0,,,,,,,,,,,,,,,,,,
109,minions greeting,4,minions greeting,4.0,water garden,1.0,,,,,,,,,,,,,,,,,,
110,runamukka reef,4,elmo's go-go skateboard,3.0,,,,,,,,,,,,,,,,,,,,
111,the reef,4,the reef,3.0,,,,,,,,,,,,,,,,,,,,
112,pteranodon flyers,3,runamukka reef,3.0,,,,,,,,,,,,,,,,,,,,
113,elmo's go-go skateboard,3,the simpsons ride,1.0,,,,,,,,,,,,,,,,,,,,
114,big bird's big top circus,1,moppy's ballon trip,1.0,,,,,,,,,,,,,,,,,,,,
115,moppy's ballon trip,1,pteranodon flyers,1.0,,,,,,,,,,,,,,,,,,,,
116,the amazing adventures of spider-man 4k3d - the ride,1,the amazing adventures of spider-man 4k3d - the ride,1.0,,,,,,,,,,,,,,,,,,,,
117,the simpsons ride,1,,,,,,,,,,,,,,,,,,,,,,
